      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2335           0.1371            0.24s
         2           1.1237           0.1180            0.22s
         3           1.0263           0.0854            0.21s
         4           0.9477           0.0801            0.20s
         5           0.8819           0.0679            0.18s
         6           0.8249           0.0586            0.16s
         7           0.7796           0.0563            0.14s
         8           0.7349           0.0330            0.13s
         9           0.6975           0.0360            0.10s
        10           0.6692           0.0391            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2325           0.1392            0.23s
         2           1.1201           0.1159            0.23s
         3           1.0293           0.1001            0.21s
         4           0.9441           0.0667            0.20s
         5           0.8770           0.0674            0.17s
         6           0.8251           0.0688            0.16s
         7           0.7761           0.0483            0.15s
         8           0.7348           0.0435            0.13s
         9           0.6957           0.0294            0.12s
        10           0.6613           0.0299            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2365           0.1381            0.24s
         2           1.1223           0.1073            0.22s
         3           1.0272           0.0895            0.21s
         4           0.9521           0.0842            0.19s
         5           0.8881           0.0718            0.18s
         6           0.8299           0.0540            0.13s
         7           0.7771           0.0400            0.12s
         8           0.7396           0.0524            0.11s
         9           0.7046           0.0418            0.11s
        10           0.6716           0.0250            0.09s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2343           0.1364            0.21s
         2           1.1197           0.1071            0.21s
         3           1.0270           0.0944            0.22s
         4           0.9493           0.0819            0.20s
         5           0.8826           0.0651            0.18s
         6           0.8282           0.0648            0.16s
         7           0.7773           0.0431            0.14s
         8           0.7335           0.0384            0.13s
         9           0.6957           0.0330            0.11s
        10           0.6628           0.0321            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2318           0.1374            0.35s
         2           1.1189           0.1166            0.33s
         3           1.0228           0.0880            0.21s
         4           0.9453           0.0847            0.19s
         5           0.8785           0.0654            0.18s
         6           0.8217           0.0573            0.16s
         7           0.7737           0.0519            0.15s
         8           0.7310           0.0447            0.14s
         9           0.6962           0.0417            0.12s
        10           0.6625           0.0276            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2350           0.1381            0.24s
         2           1.1249           0.1182            0.23s
         3           1.0286           0.0844            0.21s
         4           0.9540           0.0859            0.19s
         5           0.8875           0.0662            0.19s
         6           0.8278           0.0472            0.17s
         7           0.7726           0.0315            0.15s
         8           0.7392           0.0667            0.13s
         9           0.7006           0.0303            0.11s
        10           0.6702           0.0374            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2335           0.1386            0.34s
         2           1.1212           0.1163            0.29s
         3           1.0265           0.0873            0.25s
         4           0.9484           0.0795            0.20s
         5           0.8815           0.0661            0.20s
         6           0.8269           0.0692            0.18s
         7           0.7757           0.0354            0.16s
         8           0.7374           0.0693            0.14s
         9           0.6987           0.0241            0.12s
        10           0.6712           0.0508            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2324           0.1375            0.29s
         2           1.1200           0.1176            0.26s
         3           1.0264           0.0936            0.22s
         4           0.9471           0.0776            0.20s
         5           0.8774           0.0542            0.18s
         6           0.8205           0.0593            0.18s
         7           0.7731           0.0587            0.17s
         8           0.7312           0.0434            0.15s
         9           0.6947           0.0384            0.13s
        10           0.6578           0.0071            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2351           0.1362            0.27s
         2           1.1223           0.1105            0.31s
         3           1.0266           0.0808            0.21s
         4           0.9493           0.0840            0.19s
         5           0.8807           0.0537            0.21s
         6           0.8282           0.0806            0.19s
         7           0.7787           0.0416            0.16s
         8           0.7377           0.0476            0.14s
         9           0.6970           0.0147            0.12s
        10           0.6665           0.0436            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2344           0.1400            0.21s
         2           1.1218           0.1124            0.21s
         3           1.0272           0.0829            0.20s
         4           0.9500           0.0904            0.18s
         5           0.8824           0.0569            0.17s
         6           0.8250           0.0535            0.18s
         7           0.7780           0.0686            0.16s
         8           0.7372           0.0541            0.14s
