      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2350           0.1379            0.24s
         2           1.1181           0.1053            0.22s
         3           1.0270           0.0972            0.20s
         4           0.9478           0.0791            0.19s
         5           0.8821           0.0688            0.17s
         6           0.8242           0.0538            0.18s
         7           0.7754           0.0489            0.16s
         8           0.7360           0.0511            0.14s
         9           0.6995           0.0390            0.12s
        10           0.6613           0.0179            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2345           0.1370            0.35s
         2           1.1209           0.1118            0.27s
         3           1.0287           0.0949            0.24s
         4           0.9488           0.0757            0.17s
         5           0.8855           0.0740            0.16s
         6           0.8206           0.0400            0.15s
         7           0.7761           0.0602            0.14s
         8           0.7409           0.0579            0.12s
         9           0.7033           0.0331            0.12s
        10           0.6622           0.0117            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2348           0.1426            0.24s
         2           1.1193           0.1114            0.22s
         3           1.0250           0.0956            0.21s
         4           0.9437           0.0742            0.19s
         5           0.8774           0.0700            0.18s
         6           0.8211           0.0596            0.16s
         7           0.7738           0.0563            0.15s
         8           0.7265           0.0310            0.12s
         9           0.6951           0.0525            0.11s
        10           0.6570           0.0164            0.09s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2349           0.1372            0.23s
         2           1.1223           0.1128            0.22s
         3           1.0298           0.0960            0.16s
         4           0.9492           0.0722            0.23s
         5           0.8818           0.0649            0.21s
         6           0.8252           0.0589            0.18s
         7           0.7760           0.0486            0.16s
         8           0.7348           0.0469            0.14s
         9           0.6934           0.0193            0.13s
        10           0.6635           0.0383            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2364           0.1364            0.12s
         2           1.1230           0.1097            0.12s
         3           1.0287           0.0897            0.14s
         4           0.9493           0.0777            0.15s
         5           0.8883           0.0824            0.16s
         6           0.8227           0.0336            0.14s
         7           0.7725           0.0465            0.12s
         8           0.7326           0.0484            0.11s
         9           0.7039           0.0612            0.10s
        10           0.6665           0.0172            0.09s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2286           0.1401            0.24s
         2           1.1173           0.1221            0.23s
         3           1.0231           0.0957            0.33s
         4           0.9404           0.0700            0.28s
         5           0.8782           0.0824            0.23s
         6           0.8169           0.0475            0.21s
         7           0.7667           0.0470            0.21s
         8           0.7275           0.0530            0.18s
         9           0.6925           0.0437            0.16s
        10           0.6583           0.0266            0.13s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2346           0.1377            0.24s
         2           1.1212           0.1124            0.22s
         3           1.0270           0.0900            0.21s
         4           0.9500           0.0864            0.19s
         5           0.8813           0.0569            0.22s
         6           0.8250           0.0605            0.20s
         7           0.7756           0.0461            0.17s
         8           0.7314           0.0297            0.15s
         9           0.6975           0.0579            0.14s
        10           0.6602           0.0029            0.12s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2348           0.1370            0.45s
         2           1.1201           0.1040            0.31s
         3           1.0284           0.1019            0.34s
         4           0.9510           0.0844            0.28s
         5           0.8853           0.0704            0.28s
         6           0.8268           0.0461            0.24s
         7           0.7777           0.0495            0.20s
         8           0.7344           0.0390            0.17s
         9           0.6989           0.0432            0.15s
        10           0.6647           0.0195            0.13s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2331           0.1438            0.25s
         2           1.1192           0.1140            0.25s
         3           1.0239           0.0909            0.21s
         4           0.9449           0.0827            0.19s
         5           0.8803           0.0800            0.18s
         6           0.8225           0.0548            0.18s
         7           0.7715           0.0437            0.16s
         8           0.7277           0.0374            0.15s
         9           0.6879           0.0190            0.13s
        10           0.6550           0.0389            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2352           0.1378            0.24s
         2           1.1223           0.1124            0.22s
         3           1.0273           0.0826            0.21s
         4           0.9488           0.0778            0.19s
         5           0.8822           0.0666            0.17s
         6           0.8252           0.0570            0.16s
         7           0.7771           0.0549            0.16s
         8           0.7346           0.0412            0.14s
         9           0.6996           0.0559            0.12s
        10           0.6679           0.0409            0.10s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2347           0.1389            0.24s
         2           1.1217           0.1119            0.22s
         3           1.0275           0.0859            0.24s
         4           0.9498           0.0867            0.22s
         5           0.8838           0.0696            0.21s
         6           0.8251           0.0417            0.19s
         7           0.7772           0.0617            0.16s
         8           0.7361           0.0541            0.14s
         9           0.7016           0.0541            0.12s
        10           0.6679           0.0080            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1431            0.24s
         2           1.1183           0.1046            0.33s
         3           1.0212           0.0766            0.27s
         4           0.9449           0.1069            0.24s
         5           0.8765           0.0584            0.21s
         6           0.8192           0.0646            0.19s
         7           0.7706           0.0564            0.18s
         8           0.7258           0.0222            0.16s
         9           0.6909           0.0518            0.13s
        10           0.6563           0.0160            0.11s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2318           0.1374            0.54s
         2           1.1237           0.1192            0.52s
         3           1.0287           0.0908            0.47s
         4           0.9458           0.0738            0.34s
         5           0.8857           0.0761            0.43s
         6           0.8232           0.0498            0.35s
         7           0.7769           0.0526            0.38s
         8           0.7312           0.0371            0.35s
         9           0.6940           0.0355            0.34s
        10           0.6711           0.0468            0.31s
        20           0.4768           0.0070            0.18s
        30           0.3892           0.0115            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2338           0.1371            0.49s
         2           1.1218           0.1126            0.48s
         3           1.0263           0.0906            0.46s
         4           0.9509           0.0831            0.33s
         5           0.8793           0.0600            0.44s
         6           0.8212           0.0562            0.39s
         7           0.7746           0.0523            0.38s
         8           0.7359           0.0471            0.39s
         9           0.6889           0.0220            0.37s
        10           0.6617           0.0408            0.38s
        20           0.4849           0.0388            0.19s
        30           0.3975           0.0134            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2311           0.1398            0.18s
         2           1.1186           0.1180            0.56s
         3           1.0270           0.0973            0.36s
         4           0.9430           0.0731            0.48s
         5           0.8704           0.0603            0.48s
         6           0.8186           0.0649            0.45s
         7           0.7635           0.0425            0.42s
         8           0.7232           0.0482            0.38s
         9           0.6903           0.0427            0.37s
        10           0.6572           0.0285            0.35s
        20           0.4666           0.0082            0.17s
        30           0.3862           0.0311            0.03s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2356           0.1366            0.50s
         2           1.1232           0.1130            0.24s
         3           1.0284           0.0900            0.42s
         4           0.9477           0.0746            0.33s
         5           0.8832           0.0738            0.34s
         6           0.8263           0.0575            0.34s
         7           0.7826           0.0602            0.34s
         8           0.7320           0.0232            0.33s
         9           0.6946           0.0343            0.32s
        10           0.6652           0.0399            0.32s
        20           0.4814           0.0131            0.21s
        30           0.3916           0.0183            0.04s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2333           0.1370            0.49s
         2           1.1222           0.1156            0.48s
         3           1.0276           0.0893            0.55s
         4           0.9483           0.0760            0.45s
         5           0.8844           0.0726            0.43s
         6           0.8287           0.0602            0.41s
         7           0.7790           0.0472            0.40s
         8           0.7363           0.0418            0.39s
         9           0.7002           0.0367            0.37s
        10           0.6718           0.0405            0.35s
        20           0.4855           0.0278            0.20s
